trade_no,direction,entry_time,exit_time,entry_price,exit_price,notional,pnl,fees,funding,liquidated,liq_price_est,liq_loss,net_trade,balance_before,balance_after,exit_reason
1,short,2021-01-19 22:00:00+00:00,2021-01-20 00:15:00+00:00,0.030991347390871657,0.031103865158345033,200.0,-0.7261237535384959,0.27999999999999997,-0.02,False,0.033718585961268366,0.0,-1.026123753538496,1000.0,998.9738762464615,short_exit_LB
2,short,2021-01-20 01:15:00+00:00,2021-01-20 02:15:00+00:00,0.030633773128443217,0.030606860554970722,199.7947752492923,0.1755249523384646,0.27971268534900917,0.0,False,0.03332954516374622,0.0,-0.10418773301054457,998.9738762464615,998.8696885134509,short_exit_LB
3,long,2021-01-20 02:15:00+00:00,2021-01-20 03:00:00+00:00,0.03060685985385417,0.03088146806910505,199.77393770269018,1.7923944092313602,0.27968351278376624,0.0,False,0.027913456186715004,0.0,1.512710896447594,998.8696885134509,1000.3823994098985,long_exit_LH
4,short,2021-01-20 06:15:00+00:00,2021-01-20 12:15:00+00:00,0.030683760399828508,0.029785129202030518,200.0764798819797,5.859613177286894,0.28010707183477157,-0.02000764798819797,False,0.03338393131501342,0.0,5.559498457463924,1000.3823994098985,1005.9418978673625,short_exit_LB
5,short,2021-01-20 14:15:00+00:00,2021-01-20 16:15:00+00:00,0.029797368215873983,0.030038230572511135,201.1883795734725,-1.6262747394671233,0.2816637314028615,-0.02011883795734725,False,0.0324195366188709,0.0,-1.928057308827332,1005.9418978673625,1004.0138405585352,short_exit_LB
6,long,2021-01-20 16:15:00+00:00,2021-01-20 20:15:00+00:00,0.030038220702137058,0.030087246329409654,200.80276811170705,0.32773185077669126,0.2811238753563899,0.0,False,0.027394857280349,0.0,0.04660797542030137,1004.0138405585352,1004.0604485339555,long_exit_LH
7,long,2021-01-20 21:30:00+00:00,2021-01-21 00:15:00+00:00,0.030104064603888956,0.030265425117859006,200.8120897067911,1.0763709961711154,0.28113692558950754,-0.020081208970679113,False,0.02745490691874673,0.0,0.7751528616109288,1004.0604485339555,1004.8356013955664,long_exit_LH
8,short,2021-01-21 04:45:00+00:00,2021-01-21 05:30:00+00:00,0.029613745622631336,0.029931807901003287,200.96712027911332,-2.1584591482739004,0.28135396839075866,0.0,False,0.0322197552374229,0.0,-2.4398131166646593,1004.8356013955664,1002.3957882789017,short_exit_LB
9,short,2021-01-21 06:45:00+00:00,2021-01-21 12:15:00+00:00,0.029782656676368917,0.028594855393814952,200.47915765578037,7.99557283208447,0.2806708207180925,-0.020047915765578038,False,0.032403530463889385,0.0,7.6948540956008,1002.3957882789017,1010.0906423745025,short_exit_LB
10,short,2021-01-21 13:30:00+00:00,2021-01-21 16:15:00+00:00,0.028768336064083567,0.028803170841200088,202.0181284749005,-0.2446181267920376,0.28282537986486067,-0.02020181284749005,False,0.031299949637722924,0.0,-0.5476453195043883,1010.0906423745025,1009.5429970549982,short_exit_LB
11,long,2021-01-21 16:15:00+00:00,2021-01-21 16:30:00+00:00,0.028803168145816738,0.028133503337810287,201.90859941099967,-4.694312888599927,0.2826720391753995,0.0,False,0.026268489348984864,0.0,-4.976984927775327,1009.5429970549982,1004.5660121272228,long_exit_LH
12,short,2021-01-21 16:30:00+00:00,2021-01-21 17:15:00+00:00,0.02813352762471039,0.028483926581123368,200.91320242544458,-2.502344441072912,0.2812784833956224,0.0,False,0.030609278055684905,0.0,-2.7836229244685344,1004.5660121272228,1001.7823892027543,short_exit_LB
13,short,2021-01-22 07:15:00+00:00,2021-01-22 08:15:00+00:00,0.027514191202104837,0.027638108947905814,200.35647784055087,-0.9023606366712055,0.28049906897677124,-0.06137920698645276,False,0.029935440027890066,0.0,-1.2442389126344293,1001.7823892027543,1000.5381502901199,short_exit_LB
14,long,2021-01-22 08:15:00+00:00,2021-01-22 10:00:00+00:00,0.027638103609919154,0.027678153224519664,200.107630058024,0.289970454397203,0.2801506820812336,0.0,False,0.02520595049224627,0.0,0.009819772315969366,1000.5381502901199,1000.5479700624359,long_exit_LH
15,short,2021-01-22 10:00:00+00:00,2021-01-22 10:30:00+00:00,0.027678153179223557,0.027861110375053184,200.1095940124872,-1.3227576978153344,0.2801534316174821,0.0,False,0.03011383065899523,0.0,-1.6029111294328164,1000.5479700624359,998.945058933003,short_exit_LB
16,long,2021-01-22 10:30:00+00:00,2021-01-22 15:30:00+00:00,0.02786110284698626,0.028473875106350213,199.7890117866006,4.394124842111522,0.27970461650124084,0.0,False,0.02540932579645147,0.0,4.1144202256102815,998.945058933003,1003.0594791586133,long_exit_LH
17,long,2021-01-22 16:15:00+00:00,2021-01-22 16:45:00+00:00,0.028903952587483815,0.028383259831872346,200.61189583172265,-3.6139403610249956,0.2808566541644117,0.0,False,0.02636040475978524,0.0,-3.894797015189407,1003.0594791586133,999.1646821434239,long_exit_LH
18,long,2021-01-22 18:00:00+00:00,2021-01-22 19:45:00+00:00,0.028610523427645522,0.028654237464792048,199.83293642868477,0.3053248720959075,0.2797661110001587,0.0,False,0.026092797366012718,0.0,0.025558761095748783,999.1646821434239,999.1902409045197,long_exit_LH
19,long,2021-01-22 21:00:00+00:00,2021-01-22 22:30:00+00:00,0.028766722963987985,0.0286232238263731,199.83804818090394,-0.9968666786446392,0.27977326745326553,0.0,False,0.026235251343157042,0.0,-1.2766399460979048,999.1902409045197,997.9136009584217,long_exit_LH
20,short,2021-01-22 22:30:00+00:00,2021-01-23 00:30:00+00:00,0.028623231377398,0.028544316011214658,199.58272019168436,0.5502573500569664,0.2794158082683581,-0.1021743777749309,False,0.031142075738609026,0.0,0.16866716401367743,997.9136009584217,998.0822681224354,short_exit_LB
21,short,2021-01-23 02:15:00+00:00,2021-01-23 03:15:00+00:00,0.02841582656241588,0.028626711203380978,199.61645362448706,-1.481429514670687,0.2794630350742819,0.0,False,0.03091641929990848,0.0,-1.760892549744969,998.0822681224354,996.3213755726904,short_exit_LB
22,long,2021-01-23 03:15:00+00:00,2021-01-23 07:30:00+00:00,0.028626699374686662,0.02898361198555387,199.2642751145381,2.4843916426697708,0.2789699851603533,0.0,False,0.026107549829714236,0.0,2.2054216575094174,996.3213755726904,998.5267972301998,long_exit_LH
23,short,2021-01-23 18:15:00+00:00,2021-01-23 18:45:00+00:00,0.028832938065646217,0.02907757399860491,199.70535944603995,-1.6944200002684724,0.2795875032244559,0.0,False,0.03137023661542308,0.0,-1.9740075034929283,998.5267972301998,996.5527897267069,short_exit_LB
24,long,2021-01-23 18:45:00+00:00,2021-01-23 20:00:00+00:00,0.029077561274788923,0.02896981155038957,199.31055794534137,-0.738564609512558,0.2790347811234779,0.0,False,0.0265187358826075,0.0,-1.0175993906360359,996.5527897267069,995.5351903360709,long_exit_LH
25,long,2021-01-23 21:45:00+00:00,2021-01-23 22:00:00+00:00,0.029483020583436353,0.029182346474646542,199.10703806721418,-2.030535882686041,0.27874985329409985,0.0,False,0.026888514772093957,0.0,-2.309285735980141,995.5351903360709,993.2259046000908,long_exit_LH
26,long,2021-01-23 23:15:00+00:00,2021-01-24 00:15:00+00:00,0.02915745247968124,0.02905447343269817,198.64518092001816,-0.701580202631838,0.27810325328802543,-0.006563236777597401,False,0.02659159666146929,0.0,-0.9862466926974608,993.2259046000908,992.2396579073933,long_exit_LH
27,long,2021-01-24 03:45:00+00:00,2021-01-24 05:30:00+00:00,0.02974464438608287,0.029818663183469842,198.44793158147866,0.49383267283120363,0.27782710421407014,0.0,False,0.027127115680107578,0.0,0.2160055686171335,992.2396579073933,992.4556634760104,long_exit_LH
28,short,2021-01-24 05:30:00+00:00,2021-01-24 07:30:00+00:00,0.029818661886425003,0.030086973634120925,198.4911326952021,-1.786046031121154,0.27788758577328293,0.0,False,0.0324427041324304,0.0,-2.063933616894437,992.4556634760104,990.3917298591159,short_exit_LB
29,long,2021-01-24 07:30:00+00:00,2021-01-24 09:45:00+00:00,0.03008696114402749,0.030091288565142614,198.07834597182318,0.028489697337792618,0.2773096843605525,-0.01980783459718232,False,0.02743930856335307,0.0,-0.2686278216199422,990.3917298591159,990.123102037496,long_exit_LH
30,long,2021-01-24 10:30:00+00:00,2021-01-24 11:45:00+00:00,0.030491288401144588,0.03038529438329208,198.02462040749919,-0.6883744915784188,0.2772344685704989,0.0,False,0.027808055021843865,0.0,-0.9656089601489177,990.123102037496,989.1574930773471,long_exit_LH
31,short,2021-01-24 14:15:00+00:00,2021-01-24 16:45:00+00:00,0.03010393388522046,0.029806790578244625,197.83149861546943,1.9527117600881316,0.27696409806165717,-0.019783149861546945,False,0.03275308006711986,0.0,1.6559645121649273,989.1574930773471,990.813457589512,short_exit_LB
32,short,2021-01-24 18:00:00+00:00,2021-01-24 19:45:00+00:00,0.029773541590012297,0.02937562287740835,198.1626915179024,2.6484132852165634,0.27742776812506337,0.0,False,0.03239361324993338,0.0,2.3709855170915,990.813457589512,993.1844431066036,short_exit_LB
33,long,2021-01-25 01:15:00+00:00,2021-01-25 04:00:00+00:00,0.030016858677621987,0.030087294192651163,198.63688862132074,0.46610778643090994,0.27809164406984904,0.0,False,0.027375375113991254,0.0,0.1880161423610609,993.1844431066036,993.3724592489647,long_exit_LH
34,long,2021-01-25 04:30:00+00:00,2021-01-25 07:30:00+00:00,0.030093054311832443,0.031413186805843187,198.67449184979293,8.71552118652371,0.2781442885897101,0.0,False,0.02744486553239119,0.0,8.437376897934,993.3724592489647,1001.8098361468986,long_exit_LH
